rank	gene	description	n	cos	n_cos	N_cos	cos_ev	p	q
1302	CDH4	cadherin 4, type 1, R-cadherin (retinal)	2	4	0	1172	0	1	1
1303	CDH5	cadherin 5, type 2, VE-cadherin (vascular epithelium)	2	1	0	293	0	1	1
1304	CDH6	cadherin 6, type 2, K-cadherin (fetal kidney)	1	1	0	293	0	1	1
1305	CDH8	cadherin 8, type 2	4	1	0	293	0	1	1
1306	CDK12	cyclin-dependent kinase 12	5	3	0	879	0	1	1
1307	CDK13	cyclin-dependent kinase 13	5	2	0	586	0	1	1
1308	CDK14	cyclin-dependent kinase 14	3	4	0	1172	0	1	1
1309	CDK15	cyclin-dependent kinase 15	3	3	0	879	0	1	1
1310	CDK17	cyclin-dependent kinase 17	2	2	0	586	0	1	1
1311	CDK19	cyclin-dependent kinase 19	0	2	0	586	0	1	1
1312	CDK2	cyclin-dependent kinase 2	1	1	0	293	0	1	1
1313	CDK5	cyclin-dependent kinase 5	0	2	0	586	0	1	1
1314	CDK5RAP1	CDK5 regulatory subunit associated protein 1	1	2	0	586	0	1	1
1315	CDK5RAP2	CDK5 regulatory subunit associated protein 2	4	2	0	586	0	1	1
1316	CDK6	cyclin-dependent kinase 6	0	2	0	586	0	1	1
1317	CDK7	cyclin-dependent kinase 7	0	1	0	293	0	1	1
1318	CDK8	cyclin-dependent kinase 8	2	2	0	586	0	1	1
1319	CDK9	cyclin-dependent kinase 9	0	1	0	293	0	1	1
1320	CDKL2	cyclin-dependent kinase-like 2 (CDC2-related kinase)	0	3	0	879	0	1	1
1321	CDKL3	cyclin-dependent kinase-like 3	0	1	0	293	0	1	1
1322	CDKL5	cyclin-dependent kinase-like 5	2	3	0	879	0	1	1
1323	CDKN2B	cyclin-dependent kinase inhibitor 2B (p15, inhibits CDK4)	0	1	0	293	0	1	1
1324	CDKN2C	cyclin-dependent kinase inhibitor 2C (p18, inhibits CDK4)	1	7	0	2051	0	1	1
1325	CDO1	cysteine dioxygenase, type I	0	1	0	293	0	1	1
1326	CDON	Cdon homolog (mouse)	3	1	0	293	0	1	1
1327	CDS1	CDP-diacylglycerol synthase (phosphatidate cytidylyltransferase) 1	0	3	0	879	0	1	1
1328	CDT1	chromatin licensing and DNA replication factor 1	1	1	0	293	0	1	1
1329	CDX1	caudal type homeobox 1	2	1	0	293	0	1	1
1330	CDYL2	chromodomain protein, Y-like 2	0	1	0	293	0	1	1
1331	CECR2	cat eye syndrome chromosome region, candidate 2	1	1	0	293	0	1	1
1332	CELA1	chymotrypsin-like elastase family, member 1	0	1	0	293	0	1	1
1333	CELF1	CUGBP, Elav-like family member 1	0	2	0	586	0	1	1
1334	CELF3	CUGBP, Elav-like family member 3	1	1	0	293	0	1	1
1335	CELF6	CUGBP, Elav-like family member 6	2	1	0	293	0	1	1
1336	CELSR1	cadherin, EGF LAG seven-pass G-type receptor 1 (flamingo homolog, Drosophila)	3	1	0	293	0	1	1
1337	CELSR3	cadherin, EGF LAG seven-pass G-type receptor 3 (flamingo homolog, Drosophila)	4	1	0	293	0	1	1
1338	CENPC1	centromere protein C 1	3	2	0	586	0	1	1
1339	CENPE	centromere protein E, 312kDa	7	4	0	1172	0	1	1
1340	CENPF	centromere protein F, 350/400ka (mitosin)	6	3	0	879	0	1	1
1341	CENPH	centromere protein H	1	1	0	293	0	1	1
1342	CENPI	centromere protein I	1	1	0	293	0	1	1
1343	CEP110	centrosomal protein 110kDa	4	1	0	293	0	1	1
1344	CEP135	centrosomal protein 135kDa	3	1	0	293	0	1	1
1345	CEP152	centrosomal protein 152kDa	3	2	0	586	0	1	1
1346	CERKL	ceramide kinase-like	1	4	0	1172	0	1	1
1347	CES3	carboxylesterase 3 (brain)	1	2	0	586	0	1	1
1348	CETP	cholesteryl ester transfer protein, plasma	0	1	0	293	0	1	1
1349	CFHR5	complement factor H-related 5	0	1	0	293	0	1	1
1350	CFL2	cofilin 2 (muscle)	0	1	0	293	0	1	1
1351	CFP	complement factor properdin	2	3	0	879	0	1	1
1352	CGNL1	cingulin-like 1	4	1	0	293	0	1	1
1353	CHAD	chondroadherin	2	1	0	293	0	1	1
1354	CHAT	choline acetyltransferase	1	2	0	586	0	1	1
1355	CHD1	chromodomain helicase DNA binding protein 1	1	2	0	586	0	1	1
1356	CHD1L	chromodomain helicase DNA binding protein 1-like	0	2	0	586	0	1	1
1357	CHD4	chromodomain helicase DNA binding protein 4	7	1	0	293	0	1	1
1358	CHD5	chromodomain helicase DNA binding protein 5	3	6	0	1758	0	1	1
1359	CHD6	chromodomain helicase DNA binding protein 6	4	3	0	879	0	1	1
1360	CHD8	chromodomain helicase DNA binding protein 8	5	2	0	586	0	1	1
1361	CHD9	chromodomain helicase DNA binding protein 9	2	3	0	879	0	1	1
1362	CHEK1	CHK1 checkpoint homolog (S. pombe)	0	4	0	1172	0	1	1
1363	CHEK2	CHK2 checkpoint homolog (S. pombe)	3	2	0	586	0	1	1
1364	CHFR	checkpoint with forkhead and ring finger domains	2	2	0	586	0	1	1
1365	CHKA	choline kinase alpha	0	1	0	293	0	1	1
1366	CHL1	cell adhesion molecule with homology to L1CAM (close homolog of L1)	3	6	0	1758	0	1	1
1367	CHN1	chimerin (chimaerin) 1	1	1	0	293	0	1	1
1368	CHRM2	cholinergic receptor, muscarinic 2	3	1	0	293	0	1	1
1369	CHRM5	cholinergic receptor, muscarinic 5	1	1	0	293	0	1	1
1370	CHRNA1	cholinergic receptor, nicotinic, alpha 1 (muscle)	2	1	0	293	0	1	1
1371	CHRNA3	cholinergic receptor, nicotinic, alpha 3	2	3	0	879	0	1	1
1372	CHRNA9	cholinergic receptor, nicotinic, alpha 9	0	1	0	293	0	1	1
1373	CHRND	cholinergic receptor, nicotinic, delta	0	1	0	293	0	1	1
1374	CHST12	carbohydrate (chondroitin 4) sulfotransferase 12	0	1	0	293	0	1	1
1375	CHST13	carbohydrate (chondroitin 4) sulfotransferase 13	0	1	0	293	0	1	1
1376	CHST8	carbohydrate (N-acetylgalactosamine 4-0) sulfotransferase 8	1	1	0	293	0	1	1
1377	CHTF18	CTF18, chromosome transmission fidelity factor 18 homolog (S. cerevisiae)	0	1	0	293	0	1	1
1378	CHUK	conserved helix-loop-helix ubiquitous kinase	0	4	0	1172	0	1	1
1379	CIC	capicua homolog (Drosophila)	2	4	0	1172	0	1	1
1380	CIDEA	cell death-inducing DFFA-like effector a	0	1	0	293	0	1	1
1381	CIDEC	cell death-inducing DFFA-like effector c	0	1	0	293	0	1	1
1382	CINP	cyclin-dependent kinase 2 interacting protein	0	1	0	293	0	1	1
1383	CIR1	corepressor interacting with RBPJ, 1	1	1	0	293	0	1	1
1384	CIT	citron (rho-interacting, serine/threonine kinase 21)	3	4	0	1172	0	1	1
1385	CIZ1	CDKN1A interacting zinc finger protein 1	1	2	0	586	0	1	1
1386	CLASP2	cytoplasmic linker associated protein 2	2	1	0	293	0	1	1
1387	CLCA2	chloride channel, calcium activated, family member 2	3	1	0	293	0	1	1
1388	CLCN1	chloride channel 1, skeletal muscle (Thomsen disease, autosomal dominant)	0	2	0	586	0	1	1
1389	CLCN5	chloride channel 5 (nephrolithiasis 2, X-linked, Dent disease)	1	8	0	2344	0	1	1
1390	CLDN1	claudin 1	0	1	0	293	0	1	1
1391	CLDN11	claudin 11 (oligodendrocyte transmembrane protein)	0	1	0	293	0	1	1
1392	CLEC16A	C-type lectin domain family 16, member A	0	1	0	293	0	1	1
1393	CLEC1A	C-type lectin domain family 1, member A	0	1	0	293	0	1	1
1394	CLEC7A	C-type lectin domain family 7, member A	0	1	0	293	0	1	1
1395	CLIC2	chloride intracellular channel 2	0	2	0	586	0	1	1
1396	CLIC6	chloride intracellular channel 6	3	1	0	293	0	1	1
1397	CLIP1	CAP-GLY domain containing linker protein 1	4	1	0	293	0	1	1
1398	CLN8	ceroid-lipofuscinosis, neuronal 8 (epilepsy, progressive with mental retardation)	3	1	0	293	0	1	1
1399	CLOCK	clock homolog (mouse)	3	2	0	586	0	1	1
1400	CLPTM1L	CLPTM1-like	2	1	0	293	0	1	1
1401	CLSPN	claspin homolog (Xenopus laevis)	5	4	0	1172	0	1	1
1402	CLSTN2	calsyntenin 2	3	4	0	1172	0	1	1
1403	CLSTN3	calsyntenin 3	2	1	0	293	0	1	1
1404	CLTCL1	clathrin, heavy chain-like 1	3	1	0	293	0	1	1
1405	CMYA5	cardiomyopathy associated 5	4	1	0	293	0	1	1
1406	CNGA2	cyclic nucleotide gated channel alpha 2	0	2	0	586	0	1	1
1407	CNKSR1	connector enhancer of kinase suppressor of Ras 1	1	1	0	293	0	1	1
1408	CNKSR2	connector enhancer of kinase suppressor of Ras 2	2	1	0	293	0	1	1
1409	CNNM4	cyclin M4	1	2	0	586	0	1	1
1410	CNOT1	CCR4-NOT transcription complex, subunit 1	8	2	0	586	0	1	1
1411	CNOT7	CCR4-NOT transcription complex, subunit 7	0	1	0	293	0	1	1
1412	CNR2	cannabinoid receptor 2 (macrophage)	1	1	0	293	0	1	1
1413	CNTFR	ciliary neurotrophic factor receptor	0	1	0	293	0	1	1
1414	CNTN1	contactin 1	3	2	0	586	0	1	1
1415	CNTN4	contactin 4	1	4	0	1172	0	1	1
1416	CNTN5	contactin 5	1	1	0	293	0	1	1
1417	CNTN6	contactin 6	2	5	0	1465	0	1	1
1418	CNTROB	centrobin, centrosomal BRCA2 interacting protein	0	2	0	586	0	1	1
1419	COBL	cordon-bleu homolog (mouse)	3	1	0	293	0	1	1
1420	COCH	coagulation factor C homolog, cochlin (Limulus polyphemus)	0	1	0	293	0	1	1
1421	COG3	component of oligomeric golgi complex 3	1	1	0	293	0	1	1
1422	COG5	component of oligomeric golgi complex 5	2	1	0	293	0	1	1
1423	COG6	component of oligomeric golgi complex 6	0	1	0	293	0	1	1
1424	COL11A1	collagen, type XI, alpha 1	8	4	0	1172	0	1	1
1425	COL14A1	collagen, type XIV, alpha 1	4	9	0	2637	0	1	1
1426	COL18A1	collagen, type XVIII, alpha 1	0	1	0	293	0	1	1
1427	COL19A1	collagen, type XIX, alpha 1	3	2	0	586	0	1	1
1428	COL1A1	collagen, type I, alpha 1	1	6	0	1758	0	1	1
1429	COL1A2	collagen, type I, alpha 2	6	2	0	586	0	1	1
1430	COL23A1	collagen, type XXIII, alpha 1	0	1	0	293	0	1	1
1431	COL24A1	collagen, type XXIV, alpha 1	6	1	0	293	0	1	1
1432	COL3A1	collagen, type III, alpha 1 (Ehlers-Danlos syndrome type IV, autosomal dominant)	1	7	0	2051	0	1	1
1433	COL4A1	collagen, type IV, alpha 1	2	9	0	2637	0	1	1
1434	COL4A2	collagen, type IV, alpha 2	0	2	0	586	0	1	1
1435	COL4A3	collagen, type IV, alpha 3 (Goodpasture antigen)	2	1	0	293	0	1	1
1436	COL4A3BP	collagen, type IV, alpha 3 (Goodpasture antigen) binding protein	0	1	0	293	0	1	1
1437	COL4A4	collagen, type IV, alpha 4	3	2	0	586	0	1	1
1438	COL4A5	collagen, type IV, alpha 5 (Alport syndrome)	7	1	0	293	0	1	1
1439	COL4A6	collagen, type IV, alpha 6	5	1	0	293	0	1	1
1440	COL5A1	collagen, type V, alpha 1	1	2	0	586	0	1	1
1441	COL5A3	collagen, type V, alpha 3	8	1	0	293	0	1	1
1442	COL6A2	collagen, type VI, alpha 2	5	4	0	1172	0	1	1
1443	COL6A3	collagen, type VI, alpha 3	10	3	0	879	0	1	1
1444	COL7A1	collagen, type VII, alpha 1 (epidermolysis bullosa, dystrophic, dominant and recessive)	4	4	0	1172	0	1	1
1445	COL8A2	collagen, type VIII, alpha 2	3	1	0	293	0	1	1
1446	COPS2	COP9 constitutive photomorphogenic homolog subunit 2 (Arabidopsis)	3	1	0	293	0	1	1
1447	COPS3	COP9 constitutive photomorphogenic homolog subunit 3 (Arabidopsis)	0	1	0	293	0	1	1
1448	COPS4	COP9 constitutive photomorphogenic homolog subunit 4 (Arabidopsis)	2	1	0	293	0	1	1
1449	COPS7B	COP9 constitutive photomorphogenic homolog subunit 7B (Arabidopsis)	0	1	0	293	0	1	1
1450	CORO1B	coronin, actin binding protein, 1B	0	1	0	293	0	1	1
1451	CORO1C	coronin, actin binding protein, 1C	0	2	0	586	0	1	1
1452	CORO2B	coronin, actin binding protein, 2B	1	1	0	293	0	1	1
1453	COX4I1	cytochrome c oxidase subunit IV isoform 1	0	1	0	293	0	1	1
1454	CPA3	carboxypeptidase A3 (mast cell)	0	1	0	293	0	1	1
1455	CPB2	carboxypeptidase B2 (plasma)	0	1	0	293	0	1	1
1456	CPE	carboxypeptidase E	0	1	0	293	0	1	1
1457	CPNE2	copine II	0	1	0	293	0	1	1
1458	CPNE5	copine V	2	1	0	293	0	1	1
1459	CPO	carboxypeptidase O	2	1	0	293	0	1	1
1460	CPS1	carbamoyl-phosphate synthetase 1, mitochondrial	5	3	0	879	0	1	1
1461	CPSF3	cleavage and polyadenylation specific factor 3, 73kDa	2	2	0	586	0	1	1
1462	CPSF4	cleavage and polyadenylation specific factor 4, 30kDa	2	1	0	293	0	1	1
1463	CPSF7	cleavage and polyadenylation specific factor 7, 59kDa	1	1	0	293	0	1	1
1464	CR2	complement component (3d/Epstein Barr virus) receptor 2	1	2	0	586	0	1	1
1465	CRAT	carnitine acetyltransferase	1	1	0	293	0	1	1
1466	CRB1	crumbs homolog 1 (Drosophila)	4	1	0	293	0	1	1
1467	CREBBP	CREB binding protein (Rubinstein-Taybi syndrome)	2	2	0	586	0	1	1
1468	CRISPLD1	cysteine-rich secretory protein LCCL domain containing 1	3	1	0	293	0	1	1
1469	CRLF1	cytokine receptor-like factor 1	1	1	0	293	0	1	1
1470	CRLF2	cytokine receptor-like factor 2	0	1	0	293	0	1	1
1471	CROT	carnitine O-octanoyltransferase	2	1	0	293	0	1	1
1472	CRTC1	CREB regulated transcription coactivator 1	1	6	0	1758	0	1	1
1473	CRX	cone-rod homeobox	0	1	0	293	0	1	1
1474	CRY2	cryptochrome 2 (photolyase-like)	0	1	0	293	0	1	1
1475	CRYAA	crystallin, alpha A	1	1	0	293	0	1	1
1476	CSDA	cold shock domain protein A	3	1	0	293	0	1	1
1477	CSE1L	CSE1 chromosome segregation 1-like (yeast)	1	1	0	293	0	1	1
1478	CSF1R	colony stimulating factor 1 receptor, formerly McDonough feline sarcoma viral (v-fms) oncogene homolog	2	14	0	4102	0	1	1
1479	CSF3R	colony stimulating factor 3 receptor (granulocyte)	1	2	0	586	0	1	1
1480	CSK	c-src tyrosine kinase	2	1	0	293	0	1	1
1481	CSN3	casein kappa	0	1	0	293	0	1	1
1482	CSNK1A1L	casein kinase 1, alpha 1-like	0	1	0	293	0	1	1
1483	CSNK1D	casein kinase 1, delta	0	1	0	293	0	1	1
1484	CSNK1E	casein kinase 1, epsilon	2	2	0	586	0	1	1
1485	CSPG5	chondroitin sulfate proteoglycan 5 (neuroglycan C)	0	1	0	293	0	1	1
1486	CSRNP1	cysteine-serine-rich nuclear protein 1	1	1	0	293	0	1	1
1487	CSRNP3	cysteine-serine-rich nuclear protein 3	0	1	0	293	0	1	1
1488	CST4	cystatin S	0	1	0	293	0	1	1
1489	CTCFL	CCCTC-binding factor (zinc finger protein)-like	2	1	0	293	0	1	1
1490	CTDSP2	CTD (carboxy-terminal domain, RNA polymerase II, polypeptide A) small phosphatase 2	2	1	0	293	0	1	1
1491	CTNNA1	catenin (cadherin-associated protein), alpha 1, 102kDa	3	6	0	1758	0	1	1
1492	CTNNA3	catenin (cadherin-associated protein), alpha 3	2	2	0	586	0	1	1
1493	CTNNB1	catenin (cadherin-associated protein), beta 1, 88kDa	2	101	0	29593	0	1	1
1494	CTNND1	catenin (cadherin-associated protein), delta 1	4	2	0	586	0	1	1
1495	CTNND2	catenin (cadherin-associated protein), delta 2 (neural plakophilin-related arm-repeat protein)	3	4	0	1172	0	1	1
1496	CTSH	cathepsin H	1	2	0	586	0	1	1
1497	CTTNBP2NL	CTTNBP2 N-terminal like	0	2	0	586	0	1	1
1498	CUBN	cubilin (intrinsic factor-cobalamin receptor)	6	6	0	1758	0	1	1
1499	CUL1	cullin 1	3	1	0	293	0	1	1
1500	CUL3	cullin 3	2	1	0	293	0	1	1
1501	CUL4A	cullin 4A	0	1	0	293	0	1	1
1502	CUL4B	cullin 4B	2	4	0	1172	0	1	1
1503	CUL7	cullin 7	4	1	0	293	0	1	1
1504	CUL9	cullin 9	2	1	0	293	0	1	1
1505	CUTC	cutC copper transporter homolog (E. coli)	0	1	0	293	0	1	1
1506	CXCL3	chemokine (C-X-C motif) ligand 3	0	1	0	293	0	1	1
1507	CXCR2	chemokine (C-X-C motif) receptor 2	1	1	0	293	0	1	1
1508	CXCR3	chemokine (C-X-C motif) receptor 3	0	1	0	293	0	1	1
1509	CXCR4	chemokine (C-X-C motif) receptor 4	1	2	0	586	0	1	1
1510	CXCR5	chemokine (C-X-C motif) receptor 5	0	1	0	293	0	1	1
1511	CXCR6	chemokine (C-X-C motif) receptor 6	2	1	0	293	0	1	1
1512	CXCR7	chemokine (C-X-C motif) receptor 7	1	2	0	586	0	1	1
1513	CXXC1	CXXC finger 1 (PHD domain)	0	1	0	293	0	1	1
1514	CXorf22	chromosome X open reading frame 22	2	2	0	586	0	1	1
1515	CXorf23	chromosome X open reading frame 23	1	1	0	293	0	1	1
1516	CXorf36	chromosome X open reading frame 36	0	1	0	293	0	1	1
1517	CXorf57	chromosome X open reading frame 57	0	2	0	586	0	1	1
1518	CXorf59	chromosome X open reading frame 59	0	1	0	293	0	1	1
1519	CYB561D2	cytochrome b-561 domain containing 2	0	1	0	293	0	1	1
1520	CYB5D2	cytochrome b5 domain containing 2	0	2	0	586	0	1	1
1521	CYB5R4	cytochrome b5 reductase 4	1	2	0	586	0	1	1
1522	CYBB	cytochrome b-245, beta polypeptide (chronic granulomatous disease)	0	2	0	586	0	1	1
1523	CYCS	cytochrome c, somatic	0	1	0	293	0	1	1
1524	CYLC1	cylicin, basic protein of sperm head cytoskeleton 1	1	1	0	293	0	1	1
1525	CYLC2	cylicin, basic protein of sperm head cytoskeleton 2	1	1	0	293	0	1	1
1526	CYLD	cylindromatosis (turban tumor syndrome)	1	18	0	5274	0	1	1
1527	CYP1A1	cytochrome P450, family 1, subfamily A, polypeptide 1	1	2	0	586	0	1	1
1528	CYP1B1	cytochrome P450, family 1, subfamily B, polypeptide 1	0	1	0	293	0	1	1
1529	CYP24A1	cytochrome P450, family 24, subfamily A, polypeptide 1	0	9	0	2637	0	1	1
1530	CYP26A1	cytochrome P450, family 26, subfamily A, polypeptide 1	0	1	0	293	0	1	1
1531	CYP27B1	cytochrome P450, family 27, subfamily B, polypeptide 1	0	3	0	879	0	1	1
1532	CYP2A13	cytochrome P450, family 2, subfamily A, polypeptide 13	3	1	0	293	0	1	1
1533	CYP2C18	cytochrome P450, family 2, subfamily C, polypeptide 18	0	1	0	293	0	1	1
1534	CYP2C19	cytochrome P450, family 2, subfamily C, polypeptide 19	1	1	0	293	0	1	1
1535	CYP2R1	cytochrome P450, family 2, subfamily R, polypeptide 1	0	1	0	293	0	1	1
1536	CYP3A4	cytochrome P450, family 3, subfamily A, polypeptide 4	1	3	0	879	0	1	1
1537	CYP4F12	cytochrome P450, family 4, subfamily F, polypeptide 12	2	1	0	293	0	1	1
1538	CYP4F2	cytochrome P450, family 4, subfamily F, polypeptide 2	1	2	0	586	0	1	1
1539	CYSLTR2	cysteinyl leukotriene receptor 2	0	2	0	586	0	1	1
1540	DAAM2	dishevelled associated activator of morphogenesis 2	0	1	0	293	0	1	1
1541	DAB2	disabled homolog 2, mitogen-responsive phosphoprotein (Drosophila)	1	2	0	586	0	1	1
1542	DAB2IP	DAB2 interacting protein	0	1	0	293	0	1	1
1543	DACT1	dapper, antagonist of beta-catenin, homolog 1 (Xenopus laevis)	1	4	0	1172	0	1	1
1544	DAPK3	death-associated protein kinase 3	0	3	0	879	0	1	1
1545	DARC	Duffy blood group, chemokine receptor	0	1	0	293	0	1	1
1546	DARS2	aspartyl-tRNA synthetase 2, mitochondrial	0	1	0	293	0	1	1
1547	DAXX	death-associated protein 6	4	1	0	293	0	1	1
1548	DAZAP1	DAZ associated protein 1	0	1	0	293	0	1	1
1549	DBF4	DBF4 homolog (S. cerevisiae)	0	1	0	293	0	1	1
1550	DBN1	drebrin 1	1	3	0	879	0	1	1
1551	DCAF12L1	DDB1 and CUL4 associated factor 12-like 1	1	2	0	586	0	1	1
1552	DCAF12L2	DDB1 and CUL4 associated factor 12-like 2	0	1	0	293	0	1	1
1553	DCAF15	DDB1 and CUL4 associated factor 15	0	1	0	293	0	1	1
1554	DCAF4	DDB1 and CUL4 associated factor 4	0	1	0	293	0	1	1
1555	DCAF5	DDB1 and CUL4 associated factor 5	2	1	0	293	0	1	1
1556	DCAF6	DDB1 and CUL4 associated factor 6	1	1	0	293	0	1	1
1557	DCBLD2	discoidin, CUB and LCCL domain containing 2	0	1	0	293	0	1	1
1558	DCC	deleted in colorectal carcinoma	4	3	0	879	0	1	1
1559	DCLK1	doublecortin-like kinase 1	0	4	0	1172	0	1	1
1560	DCLK3	doublecortin-like kinase 3	0	6	0	1758	0	1	1
1561	DCLRE1A	DNA cross-link repair 1A (PSO2 homolog, S. cerevisiae)	2	1	0	293	0	1	1
1562	DCN	decorin	2	3	0	879	0	1	1
1563	DCP1B	DCP1 decapping enzyme homolog B (S. cerevisiae)	0	1	0	293	0	1	1
1564	DCST2	DC-STAMP domain containing 2	1	1	0	293	0	1	1
1565	DCT	dopachrome tautomerase (dopachrome delta-isomerase, tyrosine-related protein 2)	2	1	0	293	0	1	1
1566	DCTN4	dynactin 4 (p62)	0	1	0	293	0	1	1
1567	DCTN5	dynactin 5 (p25)	0	1	0	293	0	1	1
1568	DCX	doublecortex; lissencephaly, X-linked (doublecortin)	2	3	0	879	0	1	1
1569	DDB2	damage-specific DNA binding protein 2, 48kDa	0	2	0	586	0	1	1
1570	DDIT3	DNA-damage-inducible transcript 3	0	3	0	879	0	1	1
1571	DDO	D-aspartate oxidase	0	1	0	293	0	1	1
1572	DDR1	discoidin domain receptor tyrosine kinase 1	1	7	0	2051	0	1	1
1573	DDR2	discoidin domain receptor tyrosine kinase 2	1	4	0	1172	0	1	1
1574	DDX1	DEAD (Asp-Glu-Ala-Asp) box polypeptide 1	1	3	0	879	0	1	1
1575	DDX10	DEAD (Asp-Glu-Ala-Asp) box polypeptide 10	2	1	0	293	0	1	1
1576	DDX18	DEAD (Asp-Glu-Ala-Asp) box polypeptide 18	3	2	0	586	0	1	1
1577	DDX20	DEAD (Asp-Glu-Ala-Asp) box polypeptide 20	4	2	0	586	0	1	1
1578	DDX21	DEAD (Asp-Glu-Ala-Asp) box polypeptide 21	1	1	0	293	0	1	1
1579	DDX23	DEAD (Asp-Glu-Ala-Asp) box polypeptide 23	1	4	0	1172	0	1	1
1580	DDX24	DEAD (Asp-Glu-Ala-Asp) box polypeptide 24	1	1	0	293	0	1	1
1581	DDX27	DEAD (Asp-Glu-Ala-Asp) box polypeptide 27	1	2	0	586	0	1	1
1582	DDX28	DEAD (Asp-Glu-Ala-Asp) box polypeptide 28	2	1	0	293	0	1	1
1583	DDX3X	DEAD (Asp-Glu-Ala-Asp) box polypeptide 3, X-linked	3	2	0	586	0	1	1
1584	DDX4	DEAD (Asp-Glu-Ala-Asp) box polypeptide 4	3	1	0	293	0	1	1
1585	DDX42	DEAD (Asp-Glu-Ala-Asp) box polypeptide 42	1	1	0	293	0	1	1
1586	DDX43	DEAD (Asp-Glu-Ala-Asp) box polypeptide 43	0	1	0	293	0	1	1
1587	DDX5	DEAD (Asp-Glu-Ala-Asp) box polypeptide 5	1	1	0	293	0	1	1
1588	DDX51	DEAD (Asp-Glu-Ala-Asp) box polypeptide 51	0	1	0	293	0	1	1
1589	DDX54	DEAD (Asp-Glu-Ala-Asp) box polypeptide 54	1	2	0	586	0	1	1
1590	DDX59	DEAD (Asp-Glu-Ala-Asp) box polypeptide 59	1	2	0	586	0	1	1
1591	DEFA4	defensin, alpha 4, corticostatin	1	1	0	293	0	1	1
1592	DEFB112	defensin, beta 112	0	1	0	293	0	1	1
1593	DEFB125	defensin, beta 125	0	1	0	293	0	1	1
1594	DEK	DEK oncogene (DNA binding)	0	1	0	293	0	1	1
1595	DENND4A	DENN/MADD domain containing 4A	7	1	0	293	0	1	1
1596	DEPDC5	DEP domain containing 5	3	1	0	293	0	1	1
1597	DES	desmin	0	2	0	586	0	1	1
1598	DET1	de-etiolated homolog 1 (Arabidopsis)	1	2	0	586	0	1	1
1599	DFNB31	deafness, autosomal recessive 31	1	1	0	293	0	1	1
1600	DGCR6	DiGeorge syndrome critical region gene 6	0	1	0	293	0	1	1
1601	DGKB	diacylglycerol kinase, beta 90kDa	1	7	0	2051	0	1	1
1602	DGKD	diacylglycerol kinase, delta 130kDa	0	4	0	1172	0	1	1
1603	DGKE	diacylglycerol kinase, epsilon 64kDa	0	1	0	293	0	1	1
1604	DGKG	diacylglycerol kinase, gamma 90kDa	2	4	0	1172	0	1	1
1605	DGKI	diacylglycerol kinase, iota	1	1	0	293	0	1	1
1606	DGKQ	diacylglycerol kinase, theta 110kDa	1	1	0	293	0	1	1
1607	DGKZ	diacylglycerol kinase, zeta 104kDa	2	2	0	586	0	1	1
1608	DHRS2	dehydrogenase/reductase (SDR family) member 2	0	1	0	293	0	1	1
1609	DHTKD1	dehydrogenase E1 and transketolase domain containing 1	0	1	0	293	0	1	1
1610	DHX16	DEAH (Asp-Glu-Ala-His) box polypeptide 16	0	1	0	293	0	1	1
1611	DHX30	DEAH (Asp-Glu-Ala-His) box polypeptide 30	1	1	0	293	0	1	1
1612	DHX35	DEAH (Asp-Glu-Ala-His) box polypeptide 35	2	2	0	586	0	1	1
1613	DHX36	DEAH (Asp-Glu-Ala-His) box polypeptide 36	2	1	0	293	0	1	1
1614	DHX8	DEAH (Asp-Glu-Ala-His) box polypeptide 8	1	1	0	293	0	1	1
1615	DIAPH2	diaphanous homolog 2 (Drosophila)	4	1	0	293	0	1	1
1616	DICER1	dicer 1, ribonuclease type III	1	2	0	586	0	1	1
1617	DIMT1L	DIM1 dimethyladenosine transferase 1-like (S. cerevisiae)	0	1	0	293	0	1	1
1618	DIO3	deiodinase, iodothyronine, type III	1	1	0	293	0	1	1
1619	DIP2C	DIP2 disco-interacting protein 2 homolog C (Drosophila)	7	6	0	1758	0	1	1
1620	DIS3L2	DIS3 mitotic control homolog (S. cerevisiae)-like 2	2	1	0	293	0	1	1
1621	DKK1	dickkopf homolog 1 (Xenopus laevis)	1	2	0	586	0	1	1
1622	DKK2	dickkopf homolog 2 (Xenopus laevis)	0	2	0	586	0	1	1
1623	DKK3	dickkopf homolog 3 (Xenopus laevis)	0	1	0	293	0	1	1
1624	DLC1	deleted in liver cancer 1	3	2	0	586	0	1	1
1625	DLD	dihydrolipoamide dehydrogenase	4	1	0	293	0	1	1
1626	DLEC1	deleted in lung and esophageal cancer 1	1	2	0	586	0	1	1
1627	DLG3	discs, large homolog 3 (neuroendocrine-dlg, Drosophila)	1	1	0	293	0	1	1
1628	DLGAP1	discs, large (Drosophila) homolog-associated protein 1	1	1	0	293	0	1	1
1629	DLGAP4	discs, large (Drosophila) homolog-associated protein 4	0	1	0	293	0	1	1
1630	DLL3	delta-like 3 (Drosophila)	1	2	0	586	0	1	1
1631	DMBT1	deleted in malignant brain tumors 1	1	1	0	293	0	1	1
1632	DMKN	dermokine	4	1	0	293	0	1	1
1633	DMPK	dystrophia myotonica-protein kinase	1	2	0	586	0	1	1
1634	DMRT3	doublesex and mab-3 related transcription factor 3	0	1	0	293	0	1	1
1635	DMRTA1	DMRT-like family A1	1	1	0	293	0	1	1
1636	DNAH10	dynein, axonemal, heavy chain 10	8	1	0	293	0	1	1
