rank	gene	description	N	n	npat	nsite	nsil	n1	n2	n3	n4	n5	n6	p_classic	p_ns_s	p_ks	p_cons	p_joint	p	q
2465	CELF6	CUGBP, Elav-like family member 6	199607	2	2	2	0	0	0	0	2	0	0	0.0470	0.688	0.909	0.971	0.980	0.188	1.000
2466	DHRS12	dehydrogenase/reductase (SDR family) member 12	230652	1	1	1	0	0	0	1	0	0	0	0.188	0.678	NaN	NaN	NaN	0.188	1.000
2467	CD101	CD101 molecule	908832	2	2	2	1	0	0	1	1	0	0	0.399	0.811	0.0699	0.167	0.115	0.188	1.000
2468	PARN	poly(A)-specific ribonuclease (deadenylation nuclease)	523199	2	2	2	0	1	0	0	0	1	0	0.126	0.437	0.872	0.125	0.365	0.188	1.000
2469	SYF2	SYF2 homolog, RNA splicing factor (S. cerevisiae)	222481	1	1	1	0	0	0	0	1	0	0	0.188	0.868	NaN	NaN	NaN	0.188	1.000
2470	SLC22A25	solute carrier family 22, member 25	492240	2	2	2	0	0	1	0	1	0	0	0.0939	0.563	0.159	0.413	0.491	0.188	1.000
2471	PIP5KL1	phosphatidylinositol-4-phosphate 5-kinase-like 1	122862	1	1	1	0	0	0	0	1	0	0	0.188	0.825	NaN	NaN	NaN	0.188	1.000
2472	CRBN	cereblon	399178	1	1	1	0	0	1	0	0	0	0	0.188	0.555	NaN	NaN	NaN	0.188	1.000
2473	PCSK2	proprotein convertase subtilisin/kexin type 2	575615	3	3	3	1	1	0	0	2	0	0	0.0904	0.706	0.471	0.645	0.510	0.188	1.000
2474	MS4A10	membrane-spanning 4-domains, subfamily A, member 10	242072	1	1	1	0	0	0	1	0	0	0	0.188	0.660	NaN	NaN	NaN	0.188	1.000
2475	CAST	calpastatin	745627	2	2	2	0	0	1	0	0	1	0	0.205	0.414	0.0622	0.433	0.225	0.188	1.000
2476	TTC5	tetratricopeptide repeat domain 5	399202	1	1	1	0	1	0	0	0	0	0	0.188	0.771	NaN	NaN	NaN	0.188	1.000
2477	KRTAP4-1	keratin associated protein 4-1	114658	1	1	1	0	0	0	0	1	0	0	0.188	0.845	NaN	NaN	NaN	0.188	1.000
2478	WBP2	WW domain binding protein 2	184254	1	1	1	0	0	0	0	1	0	0	0.188	0.828	NaN	NaN	NaN	0.188	1.000
2479	ACSL1	acyl-CoA synthetase long-chain family member 1	637167	2	2	2	1	0	1	1	0	0	0	0.291	0.715	0.683	0.0979	0.159	0.189	1.000
2480	CDYL	chromodomain protein, Y-like	479051	2	2	2	0	0	0	1	1	0	0	0.189	0.564	NaN	NaN	NaN	0.189	1.000
2481	BRWD3	bromodomain and WD repeat domain containing 3	1592180	2	2	2	1	1	0	0	1	0	0	0.627	0.892	0.666	0.0257	0.0740	0.189	1.000
2482	MYL10	myosin, light chain 10, regulatory	153823	1	1	1	0	0	0	1	0	0	0	0.189	0.675	NaN	NaN	NaN	0.189	1.000
2483	ZFP42	zinc finger protein 42 homolog (mouse)	274504	1	1	1	0	0	0	1	0	0	0	0.189	0.658	NaN	NaN	NaN	0.189	1.000
2484	ADAMTS5	ADAM metallopeptidase with thrombospondin type 1 motif, 5 (aggrecanase-2)	753328	4	4	4	1	0	0	1	2	1	0	0.0546	0.718	0.755	0.363	0.851	0.189	1.000
2485	OR52E8	olfactory receptor, family 52, subfamily E, member 8	279228	2	2	2	0	0	0	1	1	0	0	0.0994	0.535	0.566	0.386	0.468	0.189	1.000
2486	HIST2H3D	histone cluster 2, H3d	120298	1	1	1	0	1	0	0	0	0	0	0.189	0.694	NaN	NaN	NaN	0.189	1.000
2487	SMAD9	SMAD family member 9	384709	2	2	2	0	1	0	1	0	0	0	0.0538	0.419	0.281	0.464	0.866	0.189	1.000
2488	ZDHHC16	zinc finger, DHHC-type containing 16	343782	2	2	2	0	0	0	1	1	0	0	0.149	0.521	0.448	0.113	0.312	0.190	1.000
2489	GPR137C	G protein-coupled receptor 137C	305516	1	1	1	0	0	0	1	0	0	0	0.190	0.652	NaN	NaN	NaN	0.190	1.000
2490	PRIM1	primase, DNA, polypeptide 1 (49kDa)	282200	1	1	1	0	0	0	0	0	1	0	0.190	0.674	NaN	NaN	NaN	0.190	1.000
2491	SLC10A6	solute carrier family 10 (sodium/bile acid cotransporter family), member 6	339195	1	1	1	0	0	1	0	0	0	0	0.190	0.688	NaN	NaN	NaN	0.190	1.000
2492	EED	embryonic ectoderm development	403753	1	1	1	1	1	0	0	0	0	0	0.190	0.908	NaN	NaN	NaN	0.190	1.000
2493	LRRC59	leucine rich repeat containing 59	237080	1	1	1	0	0	0	0	1	0	0	0.190	0.844	NaN	NaN	NaN	0.190	1.000
2494	SYNC	syncoilin, intermediate filament protein	175468	1	1	1	0	0	0	1	0	0	0	0.190	0.634	NaN	NaN	NaN	0.190	1.000
2495	OR11H6	olfactory receptor, family 11, subfamily H, member 6	291828	1	1	1	0	0	0	0	0	1	0	0.190	0.815	NaN	NaN	NaN	0.190	1.000
2496	CTNNB1	catenin (cadherin-associated protein), beta 1, 88kDa	703774	2	2	2	0	0	0	1	0	1	0	0.179	0.564	0.217	0.974	0.262	0.190	1.000
2497	GOSR1	golgi SNAP receptor complex member 1	231177	1	1	1	1	0	0	1	0	0	0	0.190	0.882	NaN	NaN	NaN	0.190	1.000
2498	SNX14	sorting nexin 14	863474	2	2	2	1	0	1	0	0	1	0	0.252	0.947	0.112	0.190	0.187	0.191	1.000
2499	IFITM3	interferon induced transmembrane protein 3 (1-8U)	120130	1	1	1	1	0	0	0	1	0	0	0.191	0.964	NaN	NaN	NaN	0.191	1.000
2500	PCDHGA1	protocadherin gamma subfamily A, 1	838566	4	4	4	1	0	0	0	4	0	0	0.0569	0.681	0.449	0.631	0.826	0.191	1.000
2501	MRPL48	mitochondrial ribosomal protein L48	144481	1	1	1	0	0	0	1	0	0	0	0.191	0.661	NaN	NaN	NaN	0.191	1.000
2502	IPO7	importin 7	938327	3	3	3	0	1	0	2	0	0	0	0.133	0.366	0.226	0.115	0.354	0.191	1.000
2503	IL28A	interleukin 28A (interferon, lambda 2)	163107	1	1	1	0	0	0	0	1	0	0	0.191	0.804	NaN	NaN	NaN	0.191	1.000
2504	AKNAD1	AKNA domain containing 1	752345	2	2	2	0	0	0	1	1	0	0	0.331	0.587	0.133	0.215	0.142	0.191	1.000
2505	KDM5B	lysine (K)-specific demethylase 5B	1387528	4	4	4	1	1	0	1	2	0	0	0.253	0.728	0.129	0.307	0.186	0.191	1.000
2506	OR1J2	olfactory receptor, family 1, subfamily J, member 2	276885	1	1	1	0	0	0	1	0	0	0	0.191	0.652	NaN	NaN	NaN	0.191	1.000
2507	GPR98	G protein-coupled receptor 98	5403893	16	16	16	4	2	1	4	8	1	0	0.530	0.377	0.320	0.0442	0.0891	0.191	1.000
2508	THEMIS	thymocyte selection associated	571317	3	3	3	0	0	1	2	0	0	0	0.0472	0.270	0.845	0.870	1.000	0.191	1.000
2509	ROCK2	Rho-associated, coiled-coil containing protein kinase 2	1254148	3	3	3	1	0	1	1	1	0	0	0.340	0.635	0.110	0.284	0.139	0.191	1.000
2510	ALKBH2	alkB, alkylation repair homolog 2 (E. coli)	233814	1	1	1	1	0	0	1	0	0	0	0.191	0.939	NaN	NaN	NaN	0.191	1.000
2511	ABCA12	ATP-binding cassette, sub-family A (ABC1), member 12	2353077	7	7	7	1	0	0	3	3	1	0	0.168	0.421	0.354	0.144	0.281	0.191	1.000
2512	LRRC46	leucine rich repeat containing 46	292410	1	1	1	0	0	0	1	0	0	0	0.191	0.635	NaN	NaN	NaN	0.191	1.000
2513	PI15	peptidase inhibitor 15	233521	1	1	1	1	0	0	0	1	0	0	0.191	0.950	NaN	NaN	NaN	0.191	1.000
2514	RERG	RAS-like, estrogen-regulated, growth inhibitor	180485	1	1	1	0	0	0	0	1	0	0	0.191	0.833	NaN	NaN	NaN	0.191	1.000
2515	DNAJC8	DnaJ (Hsp40) homolog, subfamily C, member 8	233811	1	1	1	0	0	1	0	0	0	0	0.191	0.619	NaN	NaN	NaN	0.191	1.000
2516	TRYX3	protease, serine, 58	218578	1	1	1	0	0	0	1	0	0	0	0.192	0.674	NaN	NaN	NaN	0.192	1.000
2517	CLDN4	claudin 4	185757	1	1	1	1	0	0	0	1	0	0	0.192	0.925	NaN	NaN	NaN	0.192	1.000
2518	NUDT10	nudix (nucleoside diphosphate linked moiety X)-type motif 10	135580	1	1	1	0	0	0	1	0	0	0	0.192	0.642	NaN	NaN	NaN	0.192	1.000
2519	C10orf93	chromosome 10 open reading frame 93	310403	1	1	1	0	1	0	0	0	0	0	0.192	0.656	NaN	NaN	NaN	0.192	1.000
2520	OR6N1	olfactory receptor, family 6, subfamily N, member 1	276006	1	1	1	0	0	0	1	0	0	0	0.192	0.628	NaN	NaN	NaN	0.192	1.000
2521	KIAA0564	KIAA0564	1650892	6	6	6	0	0	2	2	2	0	0	0.0595	0.115	0.518	0.424	0.796	0.192	1.000
2522	PBX2	pre-B-cell leukemia homeobox 2	347983	1	1	1	1	1	0	0	0	0	0	0.192	0.941	NaN	NaN	NaN	0.192	1.000
2523	C9orf11	chromosome 9 open reading frame 11	263262	2	2	2	0	0	0	2	0	0	0	0.0475	0.494	0.980	0.978	1.000	0.192	1.000
2524	RPS13	ribosomal protein S13	140639	1	1	1	0	0	0	0	1	0	0	0.192	0.820	NaN	NaN	NaN	0.192	1.000
2525	ANKFN1	ankyrin-repeat and fibronectin type III domain containing 1	688833	3	3	3	1	0	1	1	1	0	0	0.0724	0.690	0.436	0.886	0.657	0.192	1.000
2526	SDCCAG1	serologically defined colon cancer antigen 1	985359	4	4	4	0	0	0	2	2	0	0	0.120	0.358	0.502	0.139	0.395	0.192	1.000
2527	RAB4A	RAB4A, member RAS oncogene family	190450	1	1	1	0	0	1	0	0	0	0	0.192	0.614	NaN	NaN	NaN	0.192	1.000
2528	NAF1	nuclear assembly factor 1 homolog (S. cerevisiae)	401530	2	2	2	1	0	0	0	2	0	0	0.189	0.829	0.991	0.189	0.252	0.193	1.000
2529	OR14A16	olfactory receptor, family 14, subfamily A, member 16	272930	1	1	1	0	0	0	1	0	0	0	0.193	0.664	NaN	NaN	NaN	0.193	1.000
2530	DPPA2	developmental pluripotency associated 2	271025	1	1	1	1	0	0	1	0	0	0	0.193	0.873	NaN	NaN	NaN	0.193	1.000
2531	TMEM49	transmembrane protein 49	370645	1	1	1	0	0	0	0	0	1	0	0.193	0.680	NaN	NaN	NaN	0.193	1.000
2532	FAM155A	family with sequence similarity 155, member A	390117	2	2	2	1	1	0	0	1	0	0	0.142	0.868	0.654	0.267	0.338	0.193	1.000
2533	SUPT7L	suppressor of Ty 7 (S. cerevisiae)-like	370644	2	2	2	0	0	0	0	1	1	0	0.0711	0.836	0.664	0.141	0.673	0.193	1.000
2534	ELSPBP1	epididymal sperm binding protein 1	202756	1	1	1	0	0	0	0	1	0	0	0.193	0.877	NaN	NaN	NaN	0.193	1.000
2535	RBBP7	retinoblastoma binding protein 7	384348	1	1	1	1	0	0	0	0	1	0	0.193	0.893	NaN	NaN	NaN	0.193	1.000
2536	TACR1	tachykinin receptor 1	365663	1	1	1	0	0	0	0	0	1	0	0.194	0.824	NaN	NaN	NaN	0.194	1.000
2537	SLC10A7	solute carrier family 10 (sodium/bile acid cotransporter family), member 7	326882	2	2	2	1	0	0	2	0	0	0	0.0784	0.746	0.914	0.262	0.612	0.194	1.000
2538	MLXIPL	MLX interacting protein-like	523711	2	2	2	0	0	1	0	0	1	0	0.119	0.776	0.174	0.950	0.402	0.194	1.000
2539	SULT1C3	sulfotransferase family, cytosolic, 1C, member 3	276006	1	1	1	0	0	0	1	0	0	0	0.194	0.694	NaN	NaN	NaN	0.194	1.000
2540	PRKG2	protein kinase, cGMP-dependent, type II	691701	3	3	3	0	2	0	1	0	0	0	0.0480	0.418	0.551	0.967	1.000	0.194	1.000
2541	CENPM	centromere protein M	170564	1	1	1	0	0	0	0	1	0	0	0.194	0.818	NaN	NaN	NaN	0.194	1.000
2542	CFHR1	complement factor H-related 1	267400	1	1	1	0	0	1	0	0	0	0	0.194	0.494	NaN	NaN	NaN	0.194	1.000
2543	QPCT	glutaminyl-peptide cyclotransferase (glutaminyl cyclase)	322463	1	1	1	0	0	0	1	0	0	0	0.194	0.661	NaN	NaN	NaN	0.194	1.000
2544	NEUROD2	neurogenic differentiation 2	224604	1	1	1	0	0	0	1	0	0	0	0.194	0.608	NaN	NaN	NaN	0.194	1.000
2545	WLS	wntless homolog (Drosophila)	527400	3	3	3	0	0	0	3	0	0	0	0.0727	0.314	0.659	0.349	0.662	0.194	1.000
2546	HDAC10	histone deacetylase 10	539027	3	3	3	0	0	0	1	1	1	0	0.0481	0.330	0.344	0.995	1.000	0.194	1.000
2547	GPR82	G protein-coupled receptor 82	293972	1	1	1	0	0	0	0	1	0	0	0.194	0.842	NaN	NaN	NaN	0.194	1.000
2548	SLC35A1	solute carrier family 35 (CMP-sialic acid transporter), member A1	300618	2	2	2	1	0	0	2	0	0	0	0.0482	0.762	0.809	0.416	1.000	0.194	1.000
2549	OBFC2A	oligonucleotide/oligosaccharide-binding fold containing 2A	187212	2	2	2	0	0	0	0	2	0	0	0.0521	0.693	0.614	0.790	0.924	0.194	1.000
2550	PLXDC2	plexin domain containing 2	463863	3	3	3	0	0	0	2	1	0	0	0.0482	0.398	0.629	0.545	1.000	0.194	1.000
2551	FABP6	fatty acid binding protein 6, ileal (gastrotropin)	162922	1	1	1	0	0	0	1	0	0	0	0.194	0.678	NaN	NaN	NaN	0.194	1.000
2552	FADS2	fatty acid desaturase 2	384196	2	2	2	0	1	0	0	1	0	0	0.0591	0.522	0.406	0.926	0.816	0.194	1.000
2553	FAM113A	family with sequence similarity 113, member A	391561	1	1	1	0	0	1	0	0	0	0	0.194	0.761	NaN	NaN	NaN	0.194	1.000
2554	TINF2	TERF1 (TRF1)-interacting nuclear factor 2	408961	3	3	3	0	0	0	0	3	0	0	0.0483	0.540	0.824	0.742	1.000	0.195	1.000
2555	GFOD1	glucose-fructose oxidoreductase domain containing 1	346026	1	1	1	0	0	1	0	0	0	0	0.195	0.911	NaN	NaN	NaN	0.195	1.000
2556	PRNP	prion protein (p27-30) (Creutzfeldt-Jakob disease, Gerstmann-Strausler-Scheinker syndrome, fatal familial insomnia)	224345	1	1	1	0	0	0	1	0	0	0	0.195	0.679	NaN	NaN	NaN	0.195	1.000
2557	ELOVL5	ELOVL family member 5, elongation of long chain fatty acids (FEN1/Elo2, SUR4/Elo3-like, yeast)	271757	1	1	1	0	0	0	1	0	0	0	0.195	0.663	NaN	NaN	NaN	0.195	1.000
2558	OR10W1	olfactory receptor, family 10, subfamily W, member 1	270140	1	1	1	1	0	0	1	0	0	0	0.195	0.928	NaN	NaN	NaN	0.195	1.000
2559	ZACN	zinc activated ligand-gated ion channel	355005	1	1	1	0	0	0	0	0	1	0	0.195	0.622	NaN	NaN	NaN	0.195	1.000
2560	DLGAP5	discs, large (Drosophila) homolog-associated protein 5	765925	2	2	2	1	0	0	1	1	0	0	0.416	0.850	0.541	0.0990	0.116	0.195	1.000
2561	CNTNAP5	contactin associated protein-like 5	1104114	3	3	3	1	0	0	1	1	1	0	0.301	0.658	0.0795	0.300	0.161	0.195	1.000
2562	IGFBP4	insulin-like growth factor binding protein 4	128910	1	1	1	0	0	0	1	0	0	0	0.195	0.600	NaN	NaN	NaN	0.195	1.000
2563	PUF60	poly-U binding splicing factor 60KDa	420646	2	2	2	0	2	0	0	0	0	0	0.122	0.386	0.0246	0.0238	0.396	0.195	1.000
2564	SSH1	slingshot homolog 1 (Drosophila)	928056	3	3	3	0	0	0	3	0	0	0	0.266	0.274	0.117	0.936	0.182	0.195	1.000
2565	OR7A10	olfactory receptor, family 7, subfamily A, member 10	273662	2	2	2	0	0	0	1	1	0	0	0.0499	0.536	0.771	0.741	0.972	0.195	1.000
2566	FUT6	fucosyltransferase 6 (alpha (1,3) fucosyltransferase)	317588	1	1	1	0	1	0	0	0	0	0	0.195	0.661	NaN	NaN	NaN	0.195	1.000
2567	GALNTL5	UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase-like 5	399647	2	2	2	0	0	0	1	1	0	0	0.137	0.572	0.0997	0.637	0.355	0.195	1.000
2568	TAS2R30	taste receptor, type 2, member 30	282452	1	1	1	0	0	0	1	0	0	0	0.196	0.650	NaN	NaN	NaN	0.196	1.000
2569	NRG3	neuregulin 3	567689	2	2	2	0	1	0	1	0	0	0	0.224	0.430	0.231	0.246	0.217	0.196	1.000
2570	NKAPL	NFKB activating protein-like	355303	1	1	1	0	0	0	1	0	0	0	0.196	0.666	NaN	NaN	NaN	0.196	1.000
2571	DDX18	DEAD (Asp-Glu-Ala-Asp) box polypeptide 18	606199	3	3	3	1	0	0	2	0	1	0	0.0560	0.574	0.707	0.703	0.869	0.196	1.000
2572	SYT1	synaptotagmin I	380814	1	1	1	0	1	0	0	0	0	0	0.196	0.616	NaN	NaN	NaN	0.196	1.000
2573	HDGFRP2		324712	1	1	1	0	0	0	1	0	0	0	0.196	0.651	NaN	NaN	NaN	0.196	1.000
2574	GUCY1A3	guanylate cyclase 1, soluble, alpha 3	622332	2	2	2	0	0	0	0	1	1	0	0.148	0.845	0.171	0.300	0.328	0.196	1.000
2575	OR10H4	olfactory receptor, family 10, subfamily H, member 4	279522	1	1	1	0	0	0	0	0	1	0	0.196	0.644	NaN	NaN	NaN	0.196	1.000
2576	PIGC	phosphatidylinositol glycan anchor biosynthesis, class C	263113	1	1	1	0	0	0	0	1	0	0	0.196	0.819	NaN	NaN	NaN	0.196	1.000
2577	FOXR1	forkhead box R1	245534	1	1	1	0	0	0	0	0	1	0	0.196	1.000	NaN	NaN	NaN	0.196	1.000
2578	TCERG1L	transcription elongation regulator 1-like	258658	1	1	1	0	0	0	0	1	0	0	0.196	0.815	NaN	NaN	NaN	0.196	1.000
2579	ALKBH4	alkB, alkylation repair homolog 4 (E. coli)	234109	1	1	1	0	1	0	0	0	0	0	0.196	0.718	NaN	NaN	NaN	0.196	1.000
2580	VMO1	vitelline membrane outer layer 1 homolog (chicken)	190751	1	1	1	0	1	0	0	0	0	0	0.196	0.599	NaN	NaN	NaN	0.196	1.000
2581	GAPDHS	glyceraldehyde-3-phosphate dehydrogenase, spermatogenic	372314	1	1	1	0	0	1	0	0	0	0	0.196	0.660	NaN	NaN	NaN	0.196	1.000
2582	TPTE	transmembrane phosphatase with tensin homology	509820	3	3	3	0	0	1	1	1	0	0	0.0496	0.371	0.618	0.789	0.987	0.196	1.000
2583	E2F4	E2F transcription factor 4, p107/p130-binding	301822	1	1	1	0	0	0	1	0	0	0	0.197	0.646	NaN	NaN	NaN	0.197	1.000
2584	CAPSL	calcyphosine-like	188399	1	1	1	0	0	0	0	1	0	0	0.197	0.856	NaN	NaN	NaN	0.197	1.000
2585	DNAJB9	DnaJ (Hsp40) homolog, subfamily B, member 9	199240	1	1	1	0	0	0	1	0	0	0	0.197	0.678	NaN	NaN	NaN	0.197	1.000
2586	TMEM45B	transmembrane protein 45B	230087	1	1	1	0	1	0	0	0	0	0	0.197	0.632	NaN	NaN	NaN	0.197	1.000
2587	EPT1	ethanolaminephosphotransferase 1 (CDP-ethanolamine-specific)	316453	1	1	1	0	0	0	1	0	0	0	0.197	0.675	NaN	NaN	NaN	0.197	1.000
2588	RHOJ	ras homolog gene family, member J	194303	1	1	1	0	0	0	0	0	1	0	0.197	0.851	NaN	NaN	NaN	0.197	1.000
2589	TATDN1	TatD DNase domain containing 1	275857	2	2	2	0	0	0	1	1	0	0	0.0491	0.601	0.981	0.953	1.000	0.197	1.000
2590	PRELID1	PRELI domain containing 1	194124	2	2	2	0	0	0	0	2	0	0	0.0600	0.688	0.826	0.565	0.818	0.197	1.000
2591	CNGB1	cyclic nucleotide gated channel beta 1	1075024	2	2	2	0	1	0	0	1	0	0	0.562	0.515	0.0598	0.584	0.0873	0.197	1.000
2592	ALKBH7	alkB, alkylation repair homolog 7 (E. coli)	140168	1	1	1	0	0	0	0	1	0	0	0.197	0.790	NaN	NaN	NaN	0.197	1.000
2593	ZNF552	zinc finger protein 552	350063	1	1	1	0	0	0	1	0	0	0	0.197	0.662	NaN	NaN	NaN	0.197	1.000
2594	KCND3	potassium voltage-gated channel, Shal-related subfamily, member 3	569327	3	3	3	0	2	0	1	0	0	0	0.0492	0.258	0.624	0.802	1.000	0.197	1.000
2595	CSNK1G1	casein kinase 1, gamma 1	384709	1	1	1	0	1	0	0	0	0	0	0.197	0.820	NaN	NaN	NaN	0.197	1.000
2596	FAM49A	family with sequence similarity 49, member A	296516	1	1	1	0	0	0	0	0	1	0	0.197	0.675	NaN	NaN	NaN	0.197	1.000
2597	SSBP4	single stranded DNA binding protein 4	224141	1	1	1	0	0	0	1	0	0	0	0.197	0.713	NaN	NaN	NaN	0.197	1.000
2598	SPAG5	sperm associated antigen 5	1077653	4	4	4	0	1	1	0	1	1	0	0.0619	0.383	0.927	0.524	0.796	0.198	1.000
2599	ARHGEF35	Rho guanine nucleotide exchange factor (GEF) 35	188025	1	1	1	0	0	0	1	0	0	0	0.198	0.669	NaN	NaN	NaN	0.198	1.000
2600	OR8B12	olfactory receptor, family 8, subfamily B, member 12	273955	2	2	2	0	0	0	1	1	0	0	0.0882	0.536	0.525	0.443	0.560	0.198	1.000
2601	SF3B14		115442	1	1	1	0	0	0	1	0	0	0	0.198	0.679	NaN	NaN	NaN	0.198	1.000
2602	IZUMO1	izumo sperm-egg fusion 1	319035	2	2	2	0	0	0	0	1	1	0	0.0602	0.702	0.619	0.631	0.820	0.198	1.000
2603	SLC17A4	solute carrier family 17 (sodium phosphate), member 4	450634	2	2	2	1	0	1	0	1	0	0	0.0635	0.856	0.154	0.819	0.777	0.198	1.000
2604	CPO	carboxypeptidase O	340173	2	2	2	0	0	0	1	0	1	0	0.0739	0.571	0.383	0.552	0.669	0.198	1.000
2605	SLC6A12	solute carrier family 6 (neurotransmitter transporter, betaine/GABA), member 12	497245	3	3	3	1	0	1	2	0	0	0	0.0495	0.710	0.985	0.907	1.000	0.198	1.000
2606	TIMM17A	translocase of inner mitochondrial membrane 17 homolog A (yeast)	158212	1	1	1	0	0	0	0	1	0	0	0.198	0.814	NaN	NaN	NaN	0.198	1.000
2607	TERT	telomerase reverse transcriptase	627383	3	3	3	1	1	0	1	1	0	0	0.0769	0.685	0.949	0.328	0.643	0.198	1.000
2608	KLK4	kallikrein-related peptidase 4	210983	1	1	1	0	0	0	1	0	0	0	0.198	0.665	NaN	NaN	NaN	0.198	1.000
2609	RPL9	ribosomal protein L9	176640	1	1	1	0	0	0	1	0	0	0	0.198	0.673	NaN	NaN	NaN	0.198	1.000
2610	PCGF5	polycomb group ring finger 5	236451	1	1	1	0	0	0	0	0	1	0	0.198	1.000	NaN	NaN	NaN	0.198	1.000
2611	ATG12	ATG12 autophagy related 12 homolog (S. cerevisiae)	128624	1	1	1	0	0	0	0	1	0	0	0.198	0.818	NaN	NaN	NaN	0.198	1.000
2612	GPR62	G protein-coupled receptor 62	102998	1	1	1	0	0	0	0	1	0	0	0.198	0.749	NaN	NaN	NaN	0.198	1.000
2613	CD300C	CD300c molecule	199361	1	1	1	0	0	0	0	1	0	0	0.198	0.805	NaN	NaN	NaN	0.198	1.000
2614	DHRS4L1	dehydrogenase/reductase (SDR family) member 4 like 1	204698	1	1	1	1	0	0	1	0	0	0	0.198	0.936	NaN	NaN	NaN	0.198	1.000
2615	HEPACAM2	HEPACAM family member 2	431296	2	2	2	0	0	1	0	1	0	0	0.0792	0.474	0.725	0.179	0.625	0.198	1.000
2616	INPP5J	inositol polyphosphate-5-phosphatase J	378109	1	1	1	1	1	0	0	0	0	0	0.199	0.942	NaN	NaN	NaN	0.199	1.000
2617	PSG11	pregnancy specific beta-1-glycoprotein 11	301203	1	1	1	0	0	1	0	0	0	0	0.199	0.606	NaN	NaN	NaN	0.199	1.000
2618	FEZ2	fasciculation and elongation protein zeta 2 (zygin II)	237102	1	1	1	0	0	0	1	0	0	0	0.199	0.667	NaN	NaN	NaN	0.199	1.000
2619	CYP2A13	cytochrome P450, family 2, subfamily A, polypeptide 13	445619	3	3	3	1	1	0	0	2	0	0	0.0610	0.736	0.781	0.393	0.814	0.199	1.000
2620	JUP	junction plakoglobin	645265	2	2	2	1	0	0	0	1	1	0	0.199	0.773	NaN	NaN	NaN	0.199	1.000
2621	SMUG1	single-strand-selective monofunctional uracil-DNA glycosylase 1	227147	1	1	1	0	0	0	1	0	0	0	0.199	0.608	NaN	NaN	NaN	0.199	1.000
2622	OR2T10	olfactory receptor, family 2, subfamily T, member 10	272236	1	1	1	0	0	0	0	1	0	0	0.199	0.830	NaN	NaN	NaN	0.199	1.000
2623	CDK2	cyclin-dependent kinase 2	266988	1	1	1	0	0	0	0	0	1	0	0.199	1.000	NaN	NaN	NaN	0.199	1.000
2624	KLK14	kallikrein-related peptidase 14	183565	2	2	2	0	0	0	0	2	0	0	0.0499	0.639	0.799	0.933	1.000	0.199	1.000
2625	ACOT8	acyl-CoA thioesterase 8	286478	1	1	1	0	0	0	0	1	0	0	0.199	0.823	NaN	NaN	NaN	0.199	1.000
2626	TMEM72	transmembrane protein 72	225458	1	1	1	0	0	0	0	1	0	0	0.200	0.809	NaN	NaN	NaN	0.200	1.000
2627	CELSR1	cadherin, EGF LAG seven-pass G-type receptor 1 (flamingo homolog, Drosophila)	2307188	3	3	3	1	1	1	1	0	0	0	0.813	0.704	0.0339	0.580	0.0614	0.200	1.000
2628	SERPINB13	serpin peptidase inhibitor, clade B (ovalbumin), member 13	352772	1	1	1	0	1	0	0	0	0	0	0.200	0.580	NaN	NaN	NaN	0.200	1.000
2629	SASS6	spindle assembly 6 homolog (C. elegans)	598205	2	2	2	1	0	0	0	2	0	0	0.288	0.904	0.0799	0.341	0.173	0.200	1.000
2630	CLCA2	chloride channel, calcium activated, family member 2	846181	3	3	3	1	1	1	0	0	1	0	0.0780	0.647	0.387	0.797	0.641	0.200	1.000
2631	IL18BP	interleukin 18 binding protein	187388	1	1	1	0	0	0	1	0	0	0	0.200	0.688	NaN	NaN	NaN	0.200	1.000
2632	TTYH1	tweety homolog 1 (Drosophila)	331931	2	2	2	0	0	0	0	1	1	0	0.0500	0.653	0.799	0.749	1.000	0.200	1.000
2633	CRYM	crystallin, mu	241015	1	1	1	0	0	0	0	1	0	0	0.200	0.815	NaN	NaN	NaN	0.200	1.000
2634	KIAA1199	KIAA1199	1205111	4	4	4	1	0	1	2	1	0	0	0.105	0.561	0.379	0.434	0.477	0.200	1.000
2635	KRTAP10-3	keratin associated protein 10-3	196309	1	1	1	0	0	0	0	1	0	0	0.200	0.812	NaN	NaN	NaN	0.200	1.000
2636	HOXB4	homeobox B4	179128	1	1	1	1	1	0	0	0	0	0	0.200	0.938	NaN	NaN	NaN	0.200	1.000
2637	ACP5	acid phosphatase 5, tartrate resistant	291016	1	1	1	0	0	0	1	0	0	0	0.200	0.630	NaN	NaN	NaN	0.200	1.000
2638	FOXC2	forkhead box C2 (MFH-1, mesenchyme forkhead 1)	266746	1	1	1	0	0	0	1	0	0	0	0.200	0.634	NaN	NaN	NaN	0.200	1.000
2639	DIS3L2	DIS3 mitotic control homolog (S. cerevisiae)-like 2	756353	2	2	2	0	0	0	2	0	0	0	0.253	0.419	0.857	0.105	0.198	0.200	1.000
2640	NEK1	NIMA (never in mitosis gene a)-related kinase 1	989251	2	2	2	0	0	0	2	0	0	0	0.518	0.481	0.342	0.108	0.0969	0.200	1.000
2641	EPHA5	EPH receptor A5	904140	4	4	4	1	0	0	2	2	0	0	0.0994	0.691	0.280	0.921	0.505	0.200	1.000
