Chromosome Name,HGNC symbol,Gene Start (bp),Gene End (bp)
2,,11805495,11806095
5,,93905245,93906381
1,WNT4,22443798,22470462
1,,200284563,200285095
6,KRT8P44,162989411,162990760
19,NCR1,55417508,55427508
2,,193494645,193510432
12,RAB3IP,70132461,70216984
2,,54309691,54312203
8,,24849516,24867292
1,,200298289,200298805
X,MECP2,153287024,153363212
2,,131003544,131006343
6,PRDX2P4,100583940,100584539
1,EFCAB14-AS1,47139708,47157770
5,PCDHB18,140613938,140617101
10,,126605712,126631450
8,,24998909,24999483
6,,35619595,35619722
6,,163378290,163378580
5,AK4P2,54847713,54848382
1,PFN1P3,148349256,148349657
6,MIR5690,35632494,35632566
10,,126633773,126635001
2,,193508828,193510113
1,RNU6-352P,102325407,102325513
6,,35668780,35668915
10,VCL,75757872,75879918
1,,102348072,102348450
10,MIR4296,126721352,126721439
2,RNU7-172P,54394081,54394144
HSCHR6_MHC_COX,C6orf47,31613489,31615961
6,,35701644,35704724
2,IGKV1-32,89553057,89553501
1,,47208001,47208805
22,,26355040,26379492
6,,163463589,163475193
7,,26411764,26416321
1,,148542873,148545128
X,EEF1GP5,114937131,114938440
2,,54743185,54767834
2,,110769842,110770178
10,MRPS21P6,126855246,126855506
2,MED15P5,131009141,131010132
22,RN7SKP169,26359949,26360239
1,PFN1P7,148574653,148575051
1,LINC00862,200311672,200343482
6,,35733685,35734704
22,,26402355,26402498
2,MTND1P29,131028169,131029845
22,CRYBA4,27017928,27026636
8,RN7SL651P,25038946,25039235
22,,26557800,26560269
1,CYP4Z2P,47308767,47366109
5,,55046034,55046229
2,PCGEM1,193614571,193641625
10,LINC00595,80027085,80090352
X,,114938132,114938187
5,,93914474,93914555
2,PGAP1,197697728,197792520
5,RNA5SP183,55073297,55073415
1,,148598398,148599531
8,,25283037,25284096
1,DNAJA1P5,102358661,102359603
6,DPRXP2,35957292,35958213
22,,26557876,26559180
5,HNRNPH1P3,55134629,55135853
5,,93928473,93930496
6,,163647942,163648037
11,MOB2,1490687,1522477
X,,114953100,114953685
6,,36059768,36060423
7,NUDT1,2281857,2290781
1,,148598464,148598976
2,,54756480,54756938
11,WEE1,9595228,9615004
5,,173466754,173467243
2,RPS17P8,193638808,193639142
6,,163784242,163784495
22,,26637297,26650058
10,TDRD1,115939029,115992063
1,RNVU1-15,148604908,148605072
7,,26438213,26538594
5,PCDHB19P,140619518,140621864
1,,200443048,200447421
6,,36108275,36108365
X,KIAA2022,73952684,74145282
1,,148616292,148616578
2,MTND2P22,131030052,131031084
22,RNA5SP495,26786633,26786742
1,,200638635,200663378
8,,25543314,25545040
6,,36114475,36164982
11,NAA40,63706431,63724800
1,PPIAL4E,148644011,148644795
6,CAHM,163834097,163834992
6,,100625085,100626068
1,,102665295,102855186
22,,26818037,26819159
4,LINC00500,139346677,139358023
2,MIR4267,110827538,110827619
8,,132445023,132445116
HG747_PATCH,ARSG,66255298,66418847
10,POLL,103338639,103348027
1,RPL34P6,200832936,200833280
5,,55231971,55237555
8,,132724759,132725227
5,,173483063,173483588
5,,140699661,140700339
5,,9641417,9903938
4,,139402409,139403250
6,,164007615,164009197
1,,103228878,103319398
X,,114957297,114959383
2,,131031481,131033022
5,TIMD4,156346293,156390266
6,,100874994,100885360
HG686_PATCH,,95339723,95350930
6,,164124936,164180873
1,PFN1P6,148736689,148737087
8,HPYR1,133572745,133573726
22,,26908503,26910534
2,,194121208,194122482
2,IGKV3-34,89575056,89575545
2,,54772505,54773814
12,TAC3,57403784,57422667
19,MIR320E,47212550,47212602
X,,55307804,55315218
6,RN7SL366P,164261593,164261882
6,,100978152,100978928
4,,139481858,139483095
2,MIR4436B1,110844010,110844100
2,MIR4436B2,110844010,110844100
8,,133693146,133693248
1,MROH3P,200890122,200935658
5,,173508509,173513562
1,SOD2P1,103565699,103566260
5,,55240458,55240856
6,,164505055,164506693
19,,47231860,47235957
18,ELAC1,48494361,48514491
8,,133838424,133839148
1,,148760504,148761583
8,,25634195,25634972
3,,178815519,178815628
5,,140705777,140708924
6,,164529652,164530726
6,,36354608,36359771
3,,178819154,178865761
19,,47239569,47239676
8,,25691645,25697651
2,IGKV1-35,89586446,89586730
4,,139585879,139586723
3,,178886871,178886998
2,,54888148,54889929
6,RN7SL502P,36418692,36418978
1,,148760506,148761018
8,,133850375,133856543
X,,55477928,55478015
19,HNRNPMP2,47312842,47313440
3,,178954479,178955163
6,,36478294,36478375
X,,55609166,55609267
6,,101329347,101330863
X,,115033604,115085422
1,RNVU1-16,148766938,148767102
7,OR2AO1P,143873833,143874235
4,,139694704,139722793
6,RN7SL748P,36489968,36490275
6,,164767522,164769677
X,,55626096,55626539
22,,26917949,26921002
19,,47330152,47331697
2,,110884309,110884401
1,,148778320,148778606
6,MIR3925,36590213,36590289
7,,143880548,143883173
5,,55290995,55299477
12,GLT1D1,129337972,129469509
HSCHR6_MHC_QBL,TNXB,31966588,32011521
8,,25798739,25801385
6,RNU1-88P,36607322,36607449
HSCHR6_MHC_DBB,GTF2H4,30866676,30872598
3,SYNPR,63213991,63602597
1,RNU6-704P,200902473,200902575
1,PPIAL4F,148806015,148806799
2,,131033165,131033830
6,,165241239,165245119
2,,110941631,110942756
17,CNTROB,7835419,7853236
19,,47451546,47451631
6,,36640615,36640721
8,RNA5SP258,25994396,25994514
22,MIR548J,26951178,26951289
8,,134014850,134015320
6,,101337479,101338214
5,,93947611,93953827
X,,55659464,55662089
4,,139732832,139732920
HSCHR6_MHC_COX,GPANK1,31616421,31621476
1,,200993077,200997920
19,RN7SL533P,47582188,47582450
6,LAP3P2,36641594,36643047
2,,194141393,194142339
X,RN7SL712P,115108801,115109100
2,MTATP6P7,131034080,131034760
22,HMGB1P10,26956492,26957054
6,,165530684,165531013
19,MIR3190,47730199,47730278
19,MIR3191,47730199,47730278
HG686_PATCH,CNN2P11,95489421,95489682
2,,54974240,54975541
8,WISP1-UT1,134241299,134241940
13,FLT3,28577411,28674729
X,AKR1B1P8,115174736,115175671
4,,139741108,139933800
2,,131034757,131035530
22,ISCA2P1,27040853,27041300
6,RNA5SP226,165823051,165823165
6,,101405036,101405139
1,,201004224,201012201
1,,148852393,148853717
8,,134338240,134338647
19,,47849965,47850584
17,RECQL5,73622925,73663269
6,RNU6-730P,166131723,166131826
1,,47357311,47358502
12,OLA1P3,56263832,56266386
6,,101878287,101879429
2,RNU7-81P,55077426,55077489
8,,134404454,134404933
6,,166167677,166189268
2,NIF3L1,201754050,201768655
7,,143891951,143977640
2,MTND4P27,131036330,131037683
8,,26112399,26114144
X,,55681142,55683447
5,,94124494,94129304
5,,55296346,55296449
1,,148853803,148854120
19,NAPA-AS1,47987539,48004854
1,,201191241,201192251
2,RNU6-433P,55241554,55241657
5,,173600104,173608817
5,,55354877,55363199
4,,139845084,139845386
HG686_PATCH,,95498403,95499591
1,,201398103,201398489
6,,166186689,166188674
X,ARHGAP6,11136239,11683821
1,,148854138,148891740
2,MTND5P29,131037872,131039678
4,,139938647,139938733
6,,36704827,36705763
2,,55335846,55335939
6,,102526747,102527430
4,RNU6-531P,139976629,139976732
19,RN7SL322P,48084280,48084576
6,,36907847,36912451
2,,55441523,55443262
4,RN7SL382P,140021531,140021810
1,ZBTB40,22778344,22857650
1,,201433511,201434274
19,,48110781,48236355
6,LINC00473,166322290,166401536
4,PPP1R14BP3,140036084,140036528
X,API5P1,115238174,115239683
5,,173756615,173757506
19,,48118956,48129652
7,GPR141,37723399,37873390
5,RNU6-299P,55421498,55421597
2,,194595279,194595413
4,RN7SL311P,140106595,140106897
6,RPL12P2,37059088,37059582
2,IGKV2-36,89594990,89595212
19,SNORD23,48259110,48259219
2,MTND6P8,131039658,131040179
5,RPL17P22,55432806,55433358
HG686_PATCH,CNN2P8,95501084,95501996
1,,201476369,201502736
4,,140121549,140121667
2,,11821586,11823454
1,,47433351,47433546
22,MN1,28144265,28197486
8,SDAD1P1,26236775,26240469
4,RNU6-506P,140152180,140152273
19,,48260293,48272097
4,RBM46,155702365,155749965
2,,55451416,55453044
4,RNU6-1074P,140177811,140177914
2,EXOC6B,72403113,73053170
12,RNU1-69P,56268462,56268625
1,RPS10P7,201487831,201499602
4,RNU6-1214P,140239532,140239640
5,PCDHGB8P,140805853,140808219
12,GSTP1P1,56294084,56294402
1,,47460054,47460174
19,RPL23AP80,48297724,48298147
5,,173763298,173959460
X,,55930020,55930089
1,,201489184,201489677
X,,55934556,56041606
2,,194763091,194764118
22,MIAT,27042392,27072438
4,,140333081,140375188
19,,48297907,48298177
1,,47466570,47466759
1,NKAIN1P1,148864594,148865175
6,,102901242,102901667
2,,194892643,194892888
5,RNA5SP184,55442566,55442673
6,,37151373,37151444
2,IGKV2-38,89609655,89609901
X,RNU6-154P,115532008,115532113
6,,103450389,103451772
19,,48366740,48368598
HG686_PATCH,,95514329,95515040
5,,55488357,55489460
6,,37218980,37219082
12,,56360622,56361258
6,,166355759,166355829
6,,104031010,104031143
19,TGFB1,41807492,41859816
1,,201642233,201643272
5,RN7SL68P,140858883,140859190
X,,115803778,115814271
X,,55987641,55988915
1,,47468667,47468820
6,RN7SL273P,37328961,37329256
1,DRD5P2,148900615,148903715
6,R3HDM2P2,104465508,104467623
2,XRCC5,216972187,217071026
2,,11861745,11864348
6,GAPDHP72,166477779,166478788
5,,140937878,140944830
6,,37475124,37503392
12,,56374216,56374819
2,PRORSD1P,55509455,55511658
19,UBA52,18682540,18688360
2,GLULP6,194994078,194994990
16,NME4,446725,460367
1,,47540450,47541651
5,,140968502,140968709
19,,48401990,48402073
X,RPL23AP83,56269370,56269842
1,IPO9-AS1,201657387,201798687
19,,48554681,48554766
12,,56385991,56388469
2,,131040252,131040902
2,LINC00116,110969106,111002997
6,NPM1P10,104473415,104474638
6,,37511329,37515056
5,,94161666,94162399
19,,48564628,48568202
8,,26280109,26281445
12,,56423433,56435590
2,,131051395,131051978
2,,11881123,11885427
HG686_PATCH,CYP4F32P,95523006,95524026
5,,94314855,94316597
1,KIF2C,45205490,45233439
1,CYP4A22-AS1,47562325,47644943
X,,115822838,115824153
12,,56498398,56507689
15,EHD4,42190950,42264776
2,,131071507,131071984
2,MIR548S,11907570,11907651
X,,56644824,56650891
2,HNRNPA1P47,195052103,195053033
2,IGKV2D-38,89911273,89911512
1,MIR5191,201688636,201688755
7,EPDR1,37723446,37991543
2,,131087715,131087858
1,MTND1P34,47630182,47631592
6,,105135116,105135546
6,RNU6-897P,105214697,105214801
8,,26290545,26291581
1,,201692422,201706634
6,,105279004,105293695
X,,56755692,56844813
1,RNA5SP59,148913273,148913382
5,RNA5SP185,55556160,55556273
1,RNU6-501P,201702534,201702633
6,,166513153,166526761
12,RN7SKP11,96820978,96821264
19,,48621689,48630963
1,MIR1231,201777739,201777830
5,PSMC1P4,55571131,55572457
4,SH3D19,152023903,152246784
5,,140997981,141006048
14,,57284288,57360428
5,RNA5SP177,9761019,9761125
6,,105308324,105309998
5,,94775748,94776391
5,RNU6ATAC2P,55593391,55593516
1,,148928322,148951595
1,,201862970,201869106
2,MIR4262,11977059,11977112
X,,115826878,115828156
6,RNU6-153P,166622891,166622994
5,,55609732,55617224
6,LINC00577,105384169,105388402
5,,141275733,141276254
19,,48649165,48650670
6,,166650457,166657197
2,,195208993,195284369
1,LINC00853,47644922,47646011
2,,131174328,131188936
5,HMGN1P17,55677608,55677902
3,CCNL1,156864297,156878549
1,,201947589,201947723
19,,48707340,48716411
6,GNG5P1,166653778,166653981
1,,47691469,47696422
2,,55513154,55513264
1,,201947770,201948077
6,RNU6-1106P,105493437,105493543
6,,37512921,37518636
5,,55752865,55752965
6,HNRNPA1P49,166748056,166748959
19,,48758932,48761456
10,ZMIZ1,80828792,81076276
1,,47846600,47874149
8,,26298007,26300111
X,UQCRBP1,56763675,56764010
14,RN7SL461P,57291092,57291374
1,,201964824,201965480
2,IGKV2D-36,89925832,89926057
6,BVES-AS1,105584183,105617820
X,KRT8P6,137569824,137571030
2,,55535628,55573185
14,RNU6-1204P,57291704,57291810
1,,201969222,201979481
2,IGKV1D-35,89934312,89934582
1,FOXD2-AS1,47897805,47900313
22,PITPNB,28247657,28316122
X,,115882498,115882845
6,MIR4462,37523141,37523198
14,RPL3P3,57445127,57446339
17,,29417805,29422468
19,,48766157,48774540
8,ST13P6,134420249,134421471
1,,149036312,149036377
X,,56999943,57001229
6,,37783553,37786994
2,,195319305,195319866
12,COQ10A,56660642,56664750
14,,57507603,57509222
1,,47949370,47949834
19,,48968850,48972950
1,,149036435,149067496
17,MIR4733,29421368,29421443
2,,195422898,195422998
9,SH2D3C,130500596,130541020
8,,26405185,26405979
HSCHR6_MHC_QBL,HLA-DPB1,32972757,32984034
8,RNU6-104P,43158519,43158625
2,,110988683,111043433
8,,134585426,134586104
17,CDK12,37617764,37721160
X,,57095347,57096118
6,,166796677,166798312
5,,55800462,55800899
2,,195528831,195528898
8,,43169091,43169343
17,,29460200,29465536
1,RPL21P24,47963566,47964013
5,RNU6-308P,94857073,94857179
8,,134656841,134656968
14,,57511364,57511678
6,RN7SL285P,37800698,37800961
2,,195595319,195626159
6,RPS6KA2-IT1,166874151,166878871
8,,26629307,26629657
17,AK4P1,29672539,29673205
8,MTND2P7,134767054,134767693
16,,33140637,33145820
6,RNU1-87P,37883349,37883518
5,,95036953,95067999
6,,105629024,105629107
14,,57532978,57579378
X,,57148095,57153676
6,,37970608,37971089
X,,137709238,137709504
8,,134768088,134768889
6,,105644728,105644811
5,,55832410,55833653
X,RNU6-1323P,115984807,115984913
16,,33141556,33141763
6,MIR1913,166922842,166922921
6,,105721095,105721635
17,RN7SL79P,29792561,29792848
1,,201980498,201984785
X,SETP8,116097017,116097644
8,,43221856,43221930
8,,134783652,134826780
6,,38175050,38175121
6,FAM103A2P,166999612,166999965
1,,47968176,47968311
2,,195868435,195891094
17,RN7SL45P,29845450,29845745
X,PPP1R11P2,57255467,57255848
5,,56066626,56068130
X,ABCB7,74273115,74376567
6,,105726891,105729630
X,MIR504,137749872,137749954
6,,38326924,38327005
19,,48969623,48970237
1,ATP6V0E1P4,48015868,48016425
8,,134787794,134789595
1,,201997734,201997820
6,,167114582,167116327
16,,74254828,74255326
2,,196313256,196343649
16,,33152171,33155118
8,,43227702,43227820
14,,57822164,57826128
6,BTBD9-AS1,38449468,38450307
17,MIR4724,29861901,29861989
1,,202008979,202009062
8,COX6B1P4,26693334,26693817
6,,105746024,105746770
X,MTHFD1P1,57419079,57421842
2,IGKV3D-34,89945567,89946056
14,,58045350,58048038
1,CRIP1P3,202065887,202066106
8,,134798336,134798511
17,MIR193A,29887015,29887102
6,,38533726,38533831
19,,48983104,48985571
5,HAVCR1,156456424,156486130
8,,26868664,26869888
8,,134898739,134914650
2,,196316502,196380423
X,FGF13-AS1,137793614,137798779
17,RNU6ATAC7P,29890787,29890913
1,,48086765,48086849
1,NBPF23,149089875,149130302
16,,74316313,74321417
6,,38555099,38556305
6,RPS6KA2-AS1,167317186,167318323
17,MIR4725,29902288,29902377
2,RNU6-169P,196378760,196378866
HG1063_PATCH,GIN1,102421704,102455855
14,,58096559,58097880
1,,48154135,48169055
19,,49016464,49016917
8,,134975235,134975502
2,,196397759,196403405
16,,74339100,74369244
17,MIR365B,29902430,29902540
8,,135224108,135332690
20,ARFGAP1,61904137,61921142
X,,116531901,116532169
1,,48226804,48231219
8,,142264664,142266916
17,,29910181,29964562
2,,196434352,196437694
8,ZFAT-AS1,135610314,135612932
6,RPL35P3,105750328,105750698
19,,49122529,49127389
2,IGKV1D-32,89967232,89967677
6,,167357853,167360151
8,,43233441,43233652
10,MGMT,131265448,131566271
X,,116533415,116534044
1,,48283738,48285909
17,,30036587,30036878
5,AMACR,33986283,34008220
8,RN7SKP41,43236787,43237091
8,CNGB3,87566205,87755903
18,,48494389,48584514
6,,167383114,167412553
6,,38681827,38682993
16,,74346507,74347288
6,,106060542,106080071
1,PTPRVP,202137179,202158583
8,,135685374,135685755
17,TBC1D3P1-DHX40P1,58039724,58096413
2,AHCYP5,196447518,196448755
19,,20242703,20262717
8,,43298045,43308055
8,GPR20,142366600,142377367
8,MIR548H4,26906370,26906480
1,,48519217,48532873
6,MIR3939,167411295,167411400
16,,33165673,33165796
6,RN7SL465P,38711862,38712159
17,RNU6-1134P,30040772,30040872
19,,20247742,20248042
6,,38730681,38732470
6,,106114201,106115873
16,,74347235,74349532
6,,167412893,167552629
17,,30086814,30088404
X,CACNA1F,49061523,49089833
4,NPY2R,156129781,156138230
X,,57703500,57706693
5,HSPD1P11,95104703,95106404
2,RNU6-915P,196535096,196535198
19,SEC1P,49141328,49184461
HSCHR6_MHC_MCF,,33465695,33468861
19,,20285822,20287872
6,RN7SKP211,106352248,106352562
19,CCDC97,41816094,41830788
2,,196858983,196860404
6,,106548015,106548468
1,,48544459,48547868
HSCHR6_MHC_MCF,,28743697,28743804
17,,30089459,30096067
6,,38790083,38790180
7,NME8,37888199,37940003
X,,57792753,57793725
3,,20049344,20049739
HSCHR6_MHC_MCF,,28763753,28763816
1,CYP46A4P,48555040,48555306
17,,30157750,30158769
11,RN7SKP192,59473530,59473856
6,RN7SL47P,106731290,106731586
16,,74366300,74402138
HSCHR6_MHC_MCF,,28805655,28806792
3,,20053944,20054098
6,RNU6-344P,106752051,106752161
19,,20317653,20317763
17,,30200945,30213685
11,OR10Y1P,59495992,59496965
6,,38890805,38920875
4,TRIM61,165875598,165898820
6,,167622119,167622385
6,,106806441,106807592
19,,20332678,20333272
8,,135735190,135736192
3,MIR3135A,20179057,20179133
5,GAPDHP71,173940308,173941310
HSCHR6_MHC_MCF,,28827410,28831132
17,RNA5SP437,30290824,30290952
17,LRRC46,45908993,45915079
X,MYCLP2,57960271,57961237
5,,141331984,141332940
1,SKINTL,48561764,48648100
6,,106868581,106868682
2,IGKV3D-31,89968511,89969012
3,SGOL1-AS1,20215736,20227919
19,,20359861,20361104
6,RNA5SP211,106897256,106897372
HSCHR6_MHC_MCF,RPL13P,28829201,28829832
17,,30330129,30333707
15,,78208864,78214361
8,,135804263,135810515
4,SMARCA5,144434616,144478639
6,MAP3K5,136878185,137113656
11,OR10V3P,59508798,59509522
5,,141350202,141362252
6,,106902703,106902804
X,,137888536,137889253
5,SUMO2P6,173988779,173989066
8,PTP4A3,142402093,142441620
15,RN7SL214P,78209065,78209324
6,RNU6-527P,107055591,107055694
6,,167650996,167653968
HSCHR6_MHC_MCF,ZNF90P2,28856780,28857854
6,RPL21P65,107090338,107090803
5,,141416272,141416690
3,RNY4P22,20234274,20234366
6,,38895807,38895929
2,,196928036,196928687
15,,78232253,78236924
19,,20368529,20370227
17,,30351488,30351602
5,,174045167,174052778
19,RN7SL345P,49187292,49187563
15,,96831280,96831660
6,,167655379,167659404
3,RNU6-822P,20310457,20310562
11,OR10V2P,59516284,59517047
15,UNC13C,54305101,54920806
6,,107143410,107147869
19,RNU6-317P,49296409,49296515
3,,20383960,20392420
19,,20378626,20379200
2,IGKV1D-27,90007677,90008154
6,,167760960,167761541
5,HIGD1AP3,174059935,174060212
17,SH3GL1P1,30366993,30369847
19,NUCB1-AS1,49414187,49422148
6,,39007379,39007761
3,,20429741,20432054
4,FAM218A,165878100,165880273
HSCHR6_MHC_MCF,HCG14,28864474,28865264
11,,59520488,59522448
3,RNU6-815P,20549136,20549248
1,,48671637,48672515
5,,174178307,174277728
6,SUMO4,149721495,149722177
X,SNURFL,138444199,138444541
3,,21179755,21179833
6,,168067520,168079950
6,ANKRD18EP,39078097,39080728
11,FABP5P7,59548786,59549195
19,,20405898,20414603
5,MIR4634,174178737,174178790
3,,21430025,21430109
2,,197015987,197019605
16,,33202882,33206675
19,,49429428,49429701
5,,174247030,174253327
2,,197079943,197080046
HSCHR6_MHC_MCF,,28883588,28883687
3,VENTXP7,21447218,21448175
1,,48693560,48695233
5,,174346085,174422516
19,,49467232,49468415
11,,59665658,59666606
HSCHR6_MHC_MCF,,28894881,28895162
6,,107165327,107235416
16,,33215094,33217783
6,,168080306,168084467
8,ZNF517,146024261,146036554
HSCHR6_MHC_MCF,OR2AD1P,28994615,28995542
2,,197124748,197128928
1,PLEKHO1,150121373,150136916
5,MKI67IPP2,174350093,174350948
11,,59792381,59798550
3,,21453714,21455436
15,NR2F2,96869167,96883492
10,,80053599,80060760
1,PPP1R8P1,48790752,48791795
11,SWAP70,9685624,9774538
5,,95170128,95170750
HSCHR6_MHC_MCF,OR2P1P,29039754,29040529
19,,20413399,20413481
19,,49521504,49522741
6,,168167763,168169248
10,,80112354,80115857
6,,39321523,39321948
1,RNU6-723P,48809881,48809987
8,,43349080,43349905
4,TRIM60,165953105,165962896
19,,20434801,20435377
15,,78246417,78255996
5,,174353544,174353720
10,,80127264,80127380
6,E2F4P1,39521587,39522719
1,,48901639,48902895
HG686_PATCH,,95524521,95524863
11,,59844823,59845874
3,ZNF385D-AS1,21584308,21621451
8,,43366963,43367176
HSCHR6_MHC_MCF,,29044503,29045098
10,,80455819,80456779
12,,24376205,24390899
6,MLLT4-AS1,168224556,168227389
6,RNU1-54P,39588121,39588240
8,SNX18P27,43368786,43369564
15,,78268384,78285399
19,NTF6A,49528718,49529277
1,RNU4-61P,48913608,48913714
2,,131185304,131186798
5,,95171647,95188425
HG686_PATCH,SNX18P14,95550435,95551008
22,,27063656,27068617
3,,21871230,21871329
1,,48962935,48963408
X,SRD5A1P1,138529050,138529835
6,,39849580,39867847
19,NLRP7,55434877,55477680
HG686_PATCH,,95559555,95570199
3,ZNF385D-AS2,21984058,22021320
19,ZNF826P,20451078,20607775
19,NTF6G,49532983,49533598
HSCHR6_MHC_MCF,OR2N1P,29105804,29106740
12,LINC00477,24719898,24737102
5,,174413298,174414053
5,,141704858,142051566
11,,59927160,59928295
5,IL5,131877136,131892530
8,,43394280,43394615
11,DUSP8,1575274,1593150
3,HMGB1P5,22423310,22424420
19,NTF6B,49541736,49542295
11,ELMOD1,107461817,107537505
18,SMAD4,48494410,48611415
2,CYP4F43P,131187400,131199048
19,,49545431,49545988
X,,138681375,138681462
11,EIF1AD,65764016,65769647
3,,22711692,22712202
X,,138784446,138784549
19,,49553474,49554103
12,KNOP1P1,24736495,24737483
1,,49513988,49653257
5,,73073864,73082316
22,,27068730,27176170
3,,22852881,22853538
6,,168376604,168380456
11,LINC00301,60383209,60454622
19,,49563870,49564389
8,CYP4F44P,43395116,43396070
1,,49617064,49617175
3,RANP7,22945626,22946642
5,STARD4,110831731,110848288
19,,49567516,49568113
12,,24795621,24796100
5,,73099121,73099424
1,,49723083,49734957
1,PFN1P12,149114655,149115188
HG962_PATCH,FOXD4L3,70917783,70920000
19,CRLF1,18683030,18718551
3,SALL4P5,23031314,23033073
6,KIF25-AS1,168393502,168397757
1,,202166756,202166859
19,RN7SL708P,49584589,49584885
12,,24857499,24927147
1,,202200792,202200892
5,RNU7-196P,73123837,73123898
1,AGBL4-IT1,49839873,49937757
19,CEACAM8,43084393,43099207
6,,39926153,39926572
19,SLC6A21P,49758729,49759359
3,RPL24P7,23175863,23176315
1,,202338654,202339273
4,MAP9,156263810,156298122
5,,73248765,73249839
4,TMEM192,165995574,166129701
21,DONSON,34931848,34961014
6,TUBBP9,39960554,39967972
Y,TCEB1P26,20340818,20341146
2,CHRNA1,175612320,175629200
1,,50156934,50157195
12,RN7SL38P,24859722,24860015
X,RNU6ATAC23P,138967640,138967762
3,UBE2E2-AS1,23236561,23244069
5,,73379893,73399041
1,RNU1-114P,149146714,149146879
12,,24983355,24989492
X,,138992063,138992193
1,RNVU1-17,149194106,149194269
X,MIR505,139006307,139006390
5,,73567507,73567590
1,RNU1-92P,149215166,149215300
12,,25102097,25113092
Y,CDY9P,20344721,20346300
15,DPP8,65734801,65810042
11,COX8A,63742079,63744015
5,,73602235,73604150
8,,43397219,43399200
5,ARL2BPP6,174717734,174718255
19,,49769740,49769825
1,RNVU1-18,149224058,149224221
6,RNU6-117P,107186823,107186929
12,,25120061,25120438
1,,202379236,202379335
6,,168595038,168605181
19,SUMO1P4,49778376,49778677
6,MIR587,107232000,107232095
6,,40239305,40243976
5,RN7SL814P,73613811,73614107
1,,149230716,149232554
1,,202407524,202409085
1,ZNF859P,50307493,50312072
6,RNU6-1299P,107454275,107454374
6,,168625959,168627197
5,,73617456,73635977
HG686_PATCH,,95578783,95620920
Y,TAF9P2,20438493,20439381
X,,139099427,139100196
6,,107547242,107547443
HSCHR6_MHC_MCF,OR2J4P,29149439,29150374
6,ZC3H12D,149768794,149806197
12,,25164349,25173827
X,KRT8P17,58011120,58012567
5,,73618311,73624122
16,,33217752,33231583
6,,107549615,107549859
6,,168630412,168641395
3,TSEN2,12525931,12581122
X,HNRNPA3P3,139114503,139115665
1,,50447887,50447967
6,TDRG1,40302693,40347624
5,,174877819,174877921
3,,72110212,72119084
16,,33246423,33246597
19,MIR4324,49812054,49812125
1,,202440937,202441258
6,,107550448,107550687
2,FAHD2A,96068469,96082364
1,MTND2P29,50482764,50483175
11,,60581405,60589212
5,,174910598,174911195
6,,168643618,168663261
3,,72134240,72134438
HSCHR6_MHC_MCF,,29169703,29169769
Y,CLUHP2,20442064,20446647
1,,149239531,149265510
5,,73623820,73630591
19,,49834874,49843865
5,RN7SKP148,175055191,175055465
HSCHR6_MHC_MCF,OR2H4P,29183173,29184116
6,C6orf89,36839646,36896740
16,,33271714,33274156
5,RNU6-226P,175130901,175131007
11,,60603469,60610438
6,RPS24P12,107550963,107551356
5,,73665201,73832801
12,,25245649,25246834
12,,56512752,56513723
5,,175333942,175385541
6,CTAGE13P,168687585,168690030
1,,202496438,202496555
11,,60609279,60618554
X,,61998720,61999796
19,,49859409,49861026
19,,20462311,20462888
1,,202573396,202574421
2,PROKR1,68870721,68882708
15,,96904487,96904900
7,CYP3A43,99425636,99463718
2,,131220959,131221267
5,RNU6-658P,74020924,74021029
HSCHR6_MHC_MCF,OR2B4P,29258648,29259590
12,,56513817,56523403
1,,50580609,50580954
8,,43415811,43415916
2,RNU6-473P,131255316,131255422
11,,60674261,60677214
5,RNU6-1330P,74075134,74075238
6,,168698749,168702794
19,,49871962,49891338
6,,107555445,107555703
1,,202601556,202602039
12,,25249802,25253914
19,,20473327,20473432
5,,175362212,175362304
8,,43527966,43528218
5,,74094819,74095925
3,LRRFIP1P1,178976816,178979061
6,,107558468,107558747
1,,50639978,50641540
19,MIR1270-1,20510081,20510163
2,,131273570,131284264
11,,60680638,60681524
19,,49977843,49990894
1,,202736357,202736546
17,TRAF4,27071002,27077974
15,SPATA8,97326619,97328845
8,,43529413,43529734
6,,107584371,107584617
6,IPCEF1,154475631,154677926
12,RNU4-67P,25557222,25557362
19,MIR1270-2,20579240,20579322
12,,56544580,56552004
3,,179055910,179056371
19,,41856758,41930906
2,COL4A4,227867427,228028829
HSCHR6_MHC_MCF,,29267209,29267748
5,,175399614,175412859
6,,107831007,107832925
12,,25562227,25562379
X,RN7SL727P,139168014,139168307
16,,74401360,74403724
5,,74161718,74163679
11,,60685941,60692869
19,,20585356,20585532
1,SLC25A39P1,202765158,202766222
1,,50671756,50688799
X,,139173902,139174720
6,,168775377,168776035
3,,179058110,179059675
12,,56556143,56584068
16,,74456018,74469152
HSCHR6_MHC_MCF,DDX6P1,29297638,29299073
5,,74178481,74178608
12,,25588515,25589172
11,RNU6-933P,60752533,60752639
6,RNU6-437P,108251292,108251386
8,,47172182,47172472
Y,,20444739,20444833
19,SNORD32A,49993222,49993305
11,,63742092,63755818
1,,50791803,50792682
6,,169067733,169068243
5,,74213551,74319753
3,,179113877,179115965
6,RPL23AP50,108253004,108253458
11,,60823209,60835007
1,,202779366,202779957
2,,131287848,131294755
Y,FAM224A,20488139,20515096
19,SNORD33,49993872,49993956
X,,139298187,139298956
12,TUBB4BP1,25593809,25593986
6,,108278617,108281190
